video_id,video_datetime,video_date,author_region,poi_a_id,poi_b_id,journey_sentiment,unique_poi_n,poi_a_name,poi_a_cate,poi_b_name,poi_b_cate
6740423878578801922,2019-09-25 10:07:17,2019-09-25,VN,296,946,0.9211407750844955,2,Hong Kong Disneyland,Entertainment,Victoria Peak,Cityscape
6822987755350543617,2020-05-04 21:57:13,2020-05-04,US,324,913,0.634063646197319,2,Hong Kong-Zhuhai-Macao Bridge,Cityscape,Tsing Ma Bridge,Cityscape
6834816477409905921,2020-06-05 18:58:42,2020-06-05,US,452,465,0.8346485793590546,3,Lantau Peak,Outdoor,Lion Rock,Outdoor
6834816477409905921,2020-06-05 18:58:42,2020-06-05,US,452,946,0.8346485793590546,3,Lantau Peak,Outdoor,Victoria Peak,Cityscape
6834816477409905921,2020-06-05 18:58:42,2020-06-05,US,465,946,0.8346485793590546,3,Lion Rock,Outdoor,Victoria Peak,Cityscape
68471607375101952,2016-02-28 21:53:38,2016-02-28,KR,451,815,0.9048746029535929,3,Lantau Island,Natural,Tai Po,area
68471607375101952,2016-02-28 21:53:38,2016-02-28,KR,451,885,0.9048746029535929,3,Lantau Island,Natural,Tian Tan Buddha,Religious
68471607375101952,2016-02-28 21:53:38,2016-02-28,KR,815,885,0.9048746029535929,3,Tai Po,area,Tian Tan Buddha,Religious
6860504268621892869,2020-08-14 00:20:30,2020-08-14,GB,296,946,0.9001827239990234,2,Hong Kong Disneyland,Entertainment,Victoria Peak,Cityscape
6966281156056648962,2021-05-26 01:28:49,2021-05-26,VN,3,944,0.887228935956955,2,1881 Heritage,Shopping,Victoria Harbour,Cityscape
7056984801059900674,2022-01-25 11:45:17,2022-01-25,HK,803,815,0.7835064977407455,3,Tai Mo Shan,Outdoor,Tai Po,area
7056984801059900674,2022-01-25 11:45:17,2022-01-25,HK,803,946,0.7835064977407455,3,Tai Mo Shan,Outdoor,Victoria Peak,Cityscape
7056984801059900674,2022-01-25 11:45:17,2022-01-25,HK,815,946,0.7835064977407455,3,Tai Po,area,Victoria Peak,Cityscape
7066765810336861466,2022-02-20 20:20:32,2022-02-20,ID,37,96,0.9150511503219605,5,Avenue Of Stars,Cityscape,Causeway Bay,area
7066765810336861466,2022-02-20 20:20:32,2022-02-20,ID,37,408,0.9150511503219605,5,Avenue Of Stars,Cityscape,Kowloon Park,Cityscape
7066765810336861466,2022-02-20 20:20:32,2022-02-20,ID,37,584,0.9150511503219605,5,Avenue Of Stars,Cityscape,Ngong Ping Village,Cultural
7066765810336861466,2022-02-20 20:20:32,2022-02-20,ID,37,944,0.9150511503219605,5,Avenue Of Stars,Cityscape,Victoria Harbour,Cityscape
7066765810336861466,2022-02-20 20:20:32,2022-02-20,ID,96,408,0.9150511503219605,5,Causeway Bay,area,Kowloon Park,Cityscape
7066765810336861466,2022-02-20 20:20:32,2022-02-20,ID,96,584,0.9150511503219605,5,Causeway Bay,area,Ngong Ping Village,Cultural
7066765810336861466,2022-02-20 20:20:32,2022-02-20,ID,96,944,0.9150511503219605,5,Causeway Bay,area,Victoria Harbour,Cityscape
7066765810336861466,2022-02-20 20:20:32,2022-02-20,ID,408,584,0.9150511503219605,5,Kowloon Park,Cityscape,Ngong Ping Village,Cultural
7066765810336861466,2022-02-20 20:20:32,2022-02-20,ID,408,944,0.9150511503219605,5,Kowloon Park,Cityscape,Victoria Harbour,Cityscape
7066765810336861466,2022-02-20 20:20:32,2022-02-20,ID,584,944,0.9150511503219605,5,Ngong Ping Village,Cultural,Victoria Harbour,Cityscape
7078925331473698074,2022-03-25 14:45:42,2022-03-25,VN,296,361,0.8918034061789513,4,Hong Kong Disneyland,Entertainment,Jumbo kingdom,Dining
7078925331473698074,2022-03-25 14:45:42,2022-03-25,VN,296,663,0.8918034061789513,4,Hong Kong Disneyland,Entertainment,Repulse Bay,Natural
7078925331473698074,2022-03-25 14:45:42,2022-03-25,VN,296,733,0.8918034061789513,4,Hong Kong Disneyland,Entertainment,Sky 100,Cityscape
7078925331473698074,2022-03-25 14:45:42,2022-03-25,VN,361,663,0.8918034061789513,4,Jumbo kingdom,Dining,Repulse Bay,Natural
7078925331473698074,2022-03-25 14:45:42,2022-03-25,VN,361,733,0.8918034061789513,4,Jumbo kingdom,Dining,Sky 100,Cityscape
7078925331473698074,2022-03-25 14:45:42,2022-03-25,VN,663,733,0.8918034061789513,4,Repulse Bay,Natural,Sky 100,Cityscape
7081662866415226158,2022-04-01 23:48:44,2022-04-01,US,101,700,0.54328653216362,2,Central,area,Sham Shui Po,area
7109444461599427841,2022-06-15 20:35:32,2022-06-15,PH,291,307,0.5526328049600124,4,Hollywood Rd,Cityscape,Hong Kong Observation Wheel,Entertainment
7109444461599427841,2022-06-15 20:35:32,2022-06-15,PH,291,886,0.5526328049600124,4,Hollywood Rd,Cityscape,Times Square,Shopping
7109444461599427841,2022-06-15 20:35:32,2022-06-15,PH,291,964,0.5526328049600124,4,Hollywood Rd,Cityscape,Wan Chai,area
7109444461599427841,2022-06-15 20:35:32,2022-06-15,PH,307,886,0.5526328049600124,4,Hong Kong Observation Wheel,Entertainment,Times Square,Shopping
7109444461599427841,2022-06-15 20:35:32,2022-06-15,PH,307,964,0.5526328049600124,4,Hong Kong Observation Wheel,Entertainment,Wan Chai,area
7109444461599427841,2022-06-15 20:35:32,2022-06-15,PH,886,964,0.5526328049600124,4,Times Square,Shopping,Wan Chai,area
7111724310988885274,2022-06-22 00:02:33,2022-06-22,PH,451,544,0.8563337445259094,8,Lantau Island,Natural,Mong Kok Station,Transit
7111724310988885274,2022-06-22 00:02:33,2022-06-22,PH,451,629,0.8563337445259094,8,Lantau Island,Natural,Po Lin Monastery,Religious
7111724310988885274,2022-06-22 00:02:33,2022-06-22,PH,451,815,0.8563337445259094,8,Lantau Island,Natural,Tai Po,area
7111724310988885274,2022-06-22 00:02:33,2022-06-22,PH,451,869,0.8563337445259094,8,Lantau Island,Natural,The Peak Galleria,Shopping
7111724310988885274,2022-06-22 00:02:33,2022-06-22,PH,451,888,0.8563337445259094,8,Lantau Island,Natural,Tin Hau Station,Transit
7111724310988885274,2022-06-22 00:02:33,2022-06-22,PH,451,944,0.8563337445259094,8,Lantau Island,Natural,Victoria Harbour,Cityscape
7111724310988885274,2022-06-22 00:02:33,2022-06-22,PH,451,946,0.8563337445259094,8,Lantau Island,Natural,Victoria Peak,Cityscape
7111724310988885274,2022-06-22 00:02:33,2022-06-22,PH,544,629,0.8563337445259094,8,Mong Kok Station,Transit,Po Lin Monastery,Religious
7111724310988885274,2022-06-22 00:02:33,2022-06-22,PH,544,815,0.8563337445259094,8,Mong Kok Station,Transit,Tai Po,area
7111724310988885274,2022-06-22 00:02:33,2022-06-22,PH,544,869,0.8563337445259094,8,Mong Kok Station,Transit,The Peak Galleria,Shopping
7111724310988885274,2022-06-22 00:02:33,2022-06-22,PH,544,888,0.8563337445259094,8,Mong Kok Station,Transit,Tin Hau Station,Transit
7111724310988885274,2022-06-22 00:02:33,2022-06-22,PH,544,944,0.8563337445259094,8,Mong Kok Station,Transit,Victoria Harbour,Cityscape
7111724310988885274,2022-06-22 00:02:33,2022-06-22,PH,544,946,0.8563337445259094,8,Mong Kok Station,Transit,Victoria Peak,Cityscape
7111724310988885274,2022-06-22 00:02:33,2022-06-22,PH,629,815,0.8563337445259094,8,Po Lin Monastery,Religious,Tai Po,area
7111724310988885274,2022-06-22 00:02:33,2022-06-22,PH,629,869,0.8563337445259094,8,Po Lin Monastery,Religious,The Peak Galleria,Shopping
7111724310988885274,2022-06-22 00:02:33,2022-06-22,PH,629,888,0.8563337445259094,8,Po Lin Monastery,Religious,Tin Hau Station,Transit
7111724310988885274,2022-06-22 00:02:33,2022-06-22,PH,629,944,0.8563337445259094,8,Po Lin Monastery,Religious,Victoria Harbour,Cityscape
7111724310988885274,2022-06-22 00:02:33,2022-06-22,PH,629,946,0.8563337445259094,8,Po Lin Monastery,Religious,Victoria Peak,Cityscape
7111724310988885274,2022-06-22 00:02:33,2022-06-22,PH,815,869,0.8563337445259094,8,Tai Po,area,The Peak Galleria,Shopping
7111724310988885274,2022-06-22 00:02:33,2022-06-22,PH,815,888,0.8563337445259094,8,Tai Po,area,Tin Hau Station,Transit
7111724310988885274,2022-06-22 00:02:33,2022-06-22,PH,815,944,0.8563337445259094,8,Tai Po,area,Victoria Harbour,Cityscape
7111724310988885274,2022-06-22 00:02:33,2022-06-22,PH,815,946,0.8563337445259094,8,Tai Po,area,Victoria Peak,Cityscape
7111724310988885274,2022-06-22 00:02:33,2022-06-22,PH,869,888,0.8563337445259094,8,The Peak Galleria,Shopping,Tin Hau Station,Transit
7111724310988885274,2022-06-22 00:02:33,2022-06-22,PH,869,944,0.8563337445259094,8,The Peak Galleria,Shopping,Victoria Harbour,Cityscape
7111724310988885274,2022-06-22 00:02:33,2022-06-22,PH,869,946,0.8563337445259094,8,The Peak Galleria,Shopping,Victoria Peak,Cityscape
7111724310988885274,2022-06-22 00:02:33,2022-06-22,PH,888,944,0.8563337445259094,8,Tin Hau Station,Transit,Victoria Harbour,Cityscape
7111724310988885274,2022-06-22 00:02:33,2022-06-22,PH,888,946,0.8563337445259094,8,Tin Hau Station,Transit,Victoria Peak,Cityscape
7111724310988885274,2022-06-22 00:02:33,2022-06-22,PH,944,946,0.8563337445259094,8,Victoria Harbour,Cityscape,Victoria Peak,Cityscape
7118919776008768795,2022-07-11 09:24:43,2022-07-11,PH,296,467,0.5872735008597374,2,Hong Kong Disneyland,Entertainment,Lippo Centre,Cityscape
7123102965388348673,2022-07-22 15:57:35,2022-07-22,AU,451,584,0.8260388953744301,5,Lantau Island,Natural,Ngong Ping Village,Cultural
7123102965388348673,2022-07-22 15:57:35,2022-07-22,AU,451,629,0.8260388953744301,5,Lantau Island,Natural,Po Lin Monastery,Religious
