poi_id,poi_name,poi_cate,frame_n_total,is_focal
296.0,Hong Kong Disneyland,Entertainment,167350,1
300.0,Hong Kong International Airport,Transit,14260,1
598.0,Ocean Park,Entertainment,8292,1
451.0,Lantau Island,Natural,6972,1
946.0,Victoria Peak,Cityscape,6717,1
944.0,Victoria Harbour,Cityscape,6106,1
873.0,The Peak Tram,Entertainment,2915,1
101.0,Central,area,2666,1
580.0,Ngong Ping 360,Entertainment,2550,1
907.0,Tsim Sha Tsui,area,2383,1
629.0,Po Lin Monastery,Religious,2018,1
180.0,Disney's Hollywood Hotel,Hotel,1835,1
96.0,Causeway Bay,area,1687,1
540.0,Mong Kok,area,1649,1
307.0,Hong Kong Observation Wheel,Entertainment,1521,1
46.0,Bakehouse (Wan Chai),Dining,1328,1
815.0,Tai Po,area,1327,1
803.0,Tai Mo Shan,Outdoor,1233,1
584.0,Ngong Ping Village,Cultural,1188,1
37.0,Avenue Of Stars,Cityscape,1179,1
874.0,The Peninsula,Hotel,1157,1
579.0,Ngong Ping,area,1114,1
295.0,Hong Kong Cultural Centre,Cultural,1076,1
696.0,Sha Tin Che Kung Temple,Religious,965,1
364.0,K11 MUSEA,Shopping,924,1
733.0,Sky 100,Cityscape,909,1
1003.0,World of Frozen,Entertainment,885,1
506.0,Man Mo Temple,Religious,839,1
913.0,Tsing Ma Bridge,Cityscape,810,1
324.0,Hong Kong-Zhuhai-Macao Bridge,Cityscape,773,1
804.0,Tai O,area,672,1
995.0,Wong Tai Sin Temple,Religious,666,1
921.0,Tsz Shan Monastery,Religious,663,1
885.0,Tian Tan Buddha,Religious,645,1
304.0,Hong Kong Museum of Art,Cultural,625,1
494.0,Madame Tussauds,Cultural,596,1
310.0,Hong Kong Park,Cityscape,585,1
293.0,Hong Kong Convention and Exhibition Centre,Cityscape,582,1
150.0,Clock Tower,Cultural,565,1
404.0,Kowloon,area,517,1
386.0,Kennedy Town,area,515,1
964.0,Wan Chai,area,510,1
413.0,Kowloon Tin Hau Temple,Religious,502,1
872.0,The Peak Tower,Cityscape,476,1
834.0,Temple Street Night Market,Shopping,468,1
301.0,Hong Kong Island,Natural,418,1
228.0,Frozen Ever After,Entertainment,404,1
312.0,Hong Kong Science Museum,Cultural,371,1
886.0,Times Square,Shopping,345,1
800.0,Tai Kwun,Cultural,342,1
54.0,Big Grizzly Mountain Runaway Mine Cars,Entertainment,340,1
446.0,Lan Fong Yuen,Dining,338,1
567.0,Nathan Rd,Cityscape,328,1
663.0,Repulse Bay,Natural,324,1
145.0,Chungking Mansions,Cityscape,311,1
448.0,Lan Kwai Fong,Cultural,311,1
146.0,Citygate Outlets,Shopping,310,1
898.0,Toy Story Land,Entertainment,305,1
546.0,Monster Building,Cityscape,299,1
814.0,Tai Ping Shan,Outdoor,298,1
363.0,K11 ARTMALL,Shopping,294,1
1042.0,iSQUARE,Shopping,292,1
485.0,M+,Cultural,277,1
123.0,Cheung Hing Kee Shanghai Pan Fried Buns,Dining,274,1
560.0,Mystic Manor,Entertainment,270,1
104.0,Central Market,Shopping,268,1
565.0,Nan Lian Garden,Cultural,268,1
444.0,Lamma Island,Natural,259,1
721.0,Sheung Wan,area,257,1
833.0,Temple St,Cityscape,257,1
820.0,Tai Tam Reservoir,Natural,249,1
271.0,Harbour City,Shopping,248,1
119.0,Cheung Chau,Natural,243,1
17.0,Adventureland,Entertainment,229,1
588.0,North Point,area,229,1
323.0,Hong Kong Zoological and Botanical Gardens,Cityscape,224,1
675.0,SOGO,Shopping,222,1
179.0,Disney Explorers Lodge,Hotel,218,1
278.0,Hashtag B,Dining,208,1
1013.0,Yau Ma Tei,area,196,1
700.0,Sham Shui Po,area,192,1
436.0,Ladies' Market,Shopping,190,1
877.0,The Ritz-Carlton,Hotel,188,1
953.0,Vission Bakery,Dining,188,1
358.0,Jordan,area,186,1
433.0,LEGOLAND Discovery Centre,Entertainment,186,1
291.0,Hollywood Rd,Cityscape,184,1
503.0,Mak's Noodle,Dining,183,1
945.0,Victoria Park,Cityscape,180,1
36.0,Australia Dairy Company,Dining,179,1
334.0,Hung Hom Kwun Yum Temple,Religious,179,1
897.0,Tomorrowland,Entertainment,178,1
1010.0,Yat Lok Restaurant,Dining,175,1
3.0,1881 Heritage,Shopping,160,1
977.0,West Kowloon Cultural District,Cultural,160,1
263.0,Halfway Coffee,Dining,154,1
603.0,Old Hong Kong,Cityscape,154,1
160.0,Cupnoodles Museum,Cultural,153,1
784.0,Sunny Bay Station,Transit,150,1
916.0,Tsuen Wan,area,150,1
366.0,Kai Kai Dessert,Dining,145,1
826.0,Tai Wong Yeh Temple,Religious,145,1
128.0,Chi Lin Nunnery,Religious,140,1
189.0,Dragon's Back,Outdoor,138,1
925.0,Tung Chung,area,138,1
452.0,Lantau Peak,Outdoor,136,1
857.0,The Hong Kong Tourism Board Kowloon Visitor Centre,Cityscape,136,1
137.0,Choi Hung Estate,Cityscape,135,1
108.0,Central-Mid-Levels Escalators,Cityscape,134,1
761.0,Star Ferry Pier,Transit,133,1
270.0,Happy Valley Racecourse,Entertainment,126,1
975.0,West Kowloon,area,125,1
408.0,Kowloon Park,Cityscape,123,1
243.0,Golden Bauhinia Square,Cityscape,118,1
