poi_id,poi_name,poi_geometry,poi_lat,poi_lng,poi_cate,is_area,parent_poi_id,frame_n_total,is_focal
1.0,% Arabica,POINT (114.1266778 22.2836703),22.2836703,114.1266778,dining,1,,8,0
2.0,1453 Ottoman Mediterranean,POINT (114.1708771 22.3171148),22.3171148,114.1708771,dining,1,,1,0
3.0,1881 Heritage,POINT (114.1699524 22.2954731),22.2954731,114.1699524,shopping,1,,102,1
4.0,2 Café,POINT (114.1522558 22.2854205),22.2854205,114.1522558,dining,1,,8,0
7.0,7-Eleven (Hong Kong Airport),POINT (113.9345365 22.3151516),22.3151516,113.9345365,shopping,1,,2,0
8.0,AIA Carnival,POINT (114.1623725 22.2848624),22.2848624,114.1623725,entertainment,1,,23,0
9.0,AKI Hotel ,POINT (114.1768852 22.279232),22.279232,114.1768852,hotel,1,,1,0
10.0,ANA TEN,POINT (114.1649222 22.2948101),22.2948101,114.1649222,dining,1,,3,0
11.0,ARTISTA PERFETTO,POINT (114.2687451 22.2963405),22.2963405,114.2687451,dining,1,,6,0
12.0,Aberdeen,POINT (114.1524398 22.2483068),22.2483068,114.1524398,area,1,,37,0
13.0,Aberdeen Fisherman's Wharf Pier 6,POINT (114.1535512 22.247364),22.247364,114.1535512,shopping,1,,1,0
14.0,Aberdeen/Stanley,POINT (114.2103229 22.2171761),22.2171761,114.2103229,transit,1,,1,0
15.0,Admiralty,POINT (114.1654865 22.2796357),22.2796357,114.1654865,area,1,,64,0
16.0,Admiralty Station,POINT (114.164559 22.279412),22.279412,114.164559,transit,1,,19,0
17.0,Adventureland,POINT (114.0418289 22.3112911),22.3112911,114.0418289,entertainment,1,,124,1
18.0,After You Dessert Café,POINT (114.1724321 22.2756789),22.2756789,114.1724321,dining,1,,1,0
19.0,Alice Pizza,POINT (114.1698424 22.2763772),22.2763772,114.1698424,dining,1,,10,0
20.0,Amo·Ago,POINT (114.1528319 22.281566),22.281566,114.1528319,dining,1,,2,0
21.0,Animation Academy,POINT (114.0437105 22.3133849),22.3133849,114.0437105,entertainment,1,,5,0
22.0,Ap Lei Pai,POINT (114.1606562 22.2312142),22.2312142,114.1606562,natural,1,,3,0
