poi_id,poi_name,poi_cate,journey_n_total,stop_n_total,avg_stop_sentiment,frame_n_total,is_focal,top_market,top_inbound_poi_id,top_inbound_poi_name,top_outbound_poi_id,top_outbound_poi_name,top_companion_poi_id,top_companion_poi_name,city_sentiment_rank,category_sentiment_rank
296.0,Hong Kong Disneyland,Entertainment,22954,27617,0.8977668180037256,167350,1,PH,300.0,Hong Kong International Airport,598.0,Ocean Park,300.0,Hong Kong International Airport,4.0,4.0
300.0,Hong Kong International Airport,Transit,5819,6608,0.5151689871648693,14260,1,PH,296.0,Hong Kong Disneyland,296.0,Hong Kong Disneyland,296.0,Hong Kong Disneyland,113.0,4.0
598.0,Ocean Park,Entertainment,1947,2744,0.8318490953931607,8292,1,PH,296.0,Hong Kong Disneyland,296.0,Hong Kong Disneyland,296.0,Hong Kong Disneyland,20.0,9.0
451.0,Lantau Island,Natural,3455,4305,0.8602152551871495,6972,1,TH,629.0,Po Lin Monastery,629.0,Po Lin Monastery,296.0,Hong Kong Disneyland,10.0,1.0
946.0,Victoria Peak,Cityscape,3390,3898,0.8411576965784452,6717,1,PH,873.0,The Peak Tram,296.0,Hong Kong Disneyland,296.0,Hong Kong Disneyland,17.0,2.0
944.0,Victoria Harbour,Cityscape,3496,3881,0.8196116058180014,6106,1,PH,296.0,Hong Kong Disneyland,296.0,Hong Kong Disneyland,296.0,Hong Kong Disneyland,24.0,4.0
873.0,The Peak Tram,Entertainment,1471,1699,0.7746373141762586,2915,1,PH,946.0,Victoria Peak,946.0,Victoria Peak,946.0,Victoria Peak,49.0,12.0
101.0,Central,area,1743,1943,0.5992424959711704,2666,1,PH,296.0,Hong Kong Disneyland,296.0,Hong Kong Disneyland,296.0,Hong Kong Disneyland,95.0,10.0
580.0,Ngong Ping 360,Entertainment,1222,1406,0.7821462997106332,2550,1,PH,451.0,Lantau Island,451.0,Lantau Island,451.0,Lantau Island,43.0,11.0
907.0,Tsim Sha Tsui,area,1077,1161,0.6173407532433671,2383,1,TH,300.0,Hong Kong International Airport,296.0,Hong Kong Disneyland,300.0,Hong Kong International Airport,89.0,7.0
629.0,Po Lin Monastery,Religious,1290,1522,0.812662966759884,2018,1,PH,451.0,Lantau Island,451.0,Lantau Island,451.0,Lantau Island,28.0,2.0
180.0,Disney's Hollywood Hotel,Hotel,687,1007,0.8652195707246604,1835,1,JP,296.0,Hong Kong Disneyland,296.0,Hong Kong Disneyland,296.0,Hong Kong Disneyland,8.0,1.0
96.0,Causeway Bay,area,727,781,0.6412717783327081,1687,1,ID,300.0,Hong Kong International Airport,296.0,Hong Kong Disneyland,101.0,Central,85.0,4.0
540.0,Mong Kok,area,791,853,0.6357254015172109,1649,1,TH,296.0,Hong Kong Disneyland,296.0,Hong Kong Disneyland,296.0,Hong Kong Disneyland,86.0,5.0
307.0,Hong Kong Observation Wheel,Entertainment,1039,1116,0.8496194199784606,1521,1,PH,296.0,Hong Kong Disneyland,296.0,Hong Kong Disneyland,296.0,Hong Kong Disneyland,14.0,8.0
46.0,Bakehouse (Wan Chai),Dining,727,763,0.8169451555298047,1328,1,TH,296.0,Hong Kong Disneyland,296.0,Hong Kong Disneyland,296.0,Hong Kong Disneyland,26.0,2.0
815.0,Tai Po,area,1022,1158,0.778631599057182,1327,1,TH,451.0,Lantau Island,451.0,Lantau Island,451.0,Lantau Island,46.0,2.0
803.0,Tai Mo Shan,Outdoor,868,978,0.8517156080637704,1233,1,PH,451.0,Lantau Island,451.0,Lantau Island,451.0,Lantau Island,13.0,1.0
584.0,Ngong Ping Village,Cultural,577,626,0.7804312884904736,1188,1,PH,451.0,Lantau Island,451.0,Lantau Island,451.0,Lantau Island,44.0,5.0
37.0,Avenue Of Stars,Cityscape,469,483,0.8207190756411653,1179,1,ID,944.0,Victoria Harbour,944.0,Victoria Harbour,944.0,Victoria Harbour,23.0,3.0
874.0,The Peninsula,Hotel,770,832,0.8221175364335245,1157,1,TH,296.0,Hong Kong Disneyland,296.0,Hong Kong Disneyland,296.0,Hong Kong Disneyland,22.0,2.0
579.0,Ngong Ping,area,405,463,0.7907765292196235,1114,1,PH,580.0,Ngong Ping 360,580.0,Ngong Ping 360,451.0,Lantau Island,37.0,1.0
295.0,Hong Kong Cultural Centre,Cultural,853,910,0.6780754948124604,1076,1,PH,944.0,Victoria Harbour,944.0,Victoria Harbour,944.0,Victoria Harbour,77.0,9.0
696.0,Sha Tin Che Kung Temple,Religious,553,583,0.6636280528461953,965,1,TH,506.0,Man Mo Temple,506.0,Man Mo Temple,300.0,Hong Kong International Airport,82.0,9.0
364.0,K11 MUSEA,Shopping,609,640,0.7391377924801446,924,1,PH,944.0,Victoria Harbour,944.0,Victoria Harbour,944.0,Victoria Harbour,61.0,3.0
733.0,Sky 100,Cityscape,708,757,0.68463617409876,909,1,PH,946.0,Victoria Peak,946.0,Victoria Peak,946.0,Victoria Peak,72.0,13.0
1003.0,World of Frozen,Entertainment,598,652,0.9364957078957293,885,1,TH,296.0,Hong Kong Disneyland,296.0,Hong Kong Disneyland,296.0,Hong Kong Disneyland,1.0,1.0
506.0,Man Mo Temple,Religious,539,580,0.6508810190352105,839,1,TH,696.0,Sha Tin Che Kung Temple,696.0,Sha Tin Che Kung Temple,696.0,Sha Tin Che Kung Temple,83.0,10.0
913.0,Tsing Ma Bridge,Cityscape,615,639,0.6800900843923832,810,1,PH,300.0,Hong Kong International Airport,296.0,Hong Kong Disneyland,300.0,Hong Kong International Airport,75.0,14.0
324.0,Hong Kong-Zhuhai-Macao Bridge,Cityscape,475,539,0.6721771827579525,773,1,TH,300.0,Hong Kong International Airport,300.0,Hong Kong International Airport,300.0,Hong Kong International Airport,79.0,15.0
804.0,Tai O,area,268,312,0.7271125953051137,672,1,TH,451.0,Lantau Island,451.0,Lantau Island,451.0,Lantau Island,65.0,3.0
995.0,Wong Tai Sin Temple,Religious,282,305,0.6981330637249316,666,1,TH,696.0,Sha Tin Che Kung Temple,696.0,Sha Tin Che Kung Temple,696.0,Sha Tin Che Kung Temple,68.0,7.0
921.0,Tsz Shan Monastery,Religious,435,475,0.7738772377384112,663,1,TH,451.0,Lantau Island,451.0,Lantau Island,451.0,Lantau Island,51.0,4.0
885.0,Tian Tan Buddha,Religious,265,291,0.7746579410602464,645,1,PH,451.0,Lantau Island,451.0,Lantau Island,451.0,Lantau Island,48.0,3.0
304.0,Hong Kong Museum of Art,Cultural,414,443,0.6788902859328412,625,1,PH,944.0,Victoria Harbour,944.0,Victoria Harbour,944.0,Victoria Harbour,76.0,8.0
494.0,Madame Tussauds,Cultural,283,303,0.7906985556417903,596,1,PH,946.0,Victoria Peak,946.0,Victoria Peak,946.0,Victoria Peak,38.0,3.0
