poi_id,poi_name,poi_cate,frame_n_total
296.0,Hong Kong Disneyland,Entertainment,167350
300.0,Hong Kong International Airport,Transit,14260
598.0,Ocean Park,Entertainment,8292
451.0,Lantau Island,Natural,6972
946.0,Victoria Peak,Cityscape,6717
944.0,Victoria Harbour,Cityscape,6106
873.0,The Peak Tram,Entertainment,2915
101.0,Central,area,2666
580.0,Ngong Ping 360,Entertainment,2550
907.0,Tsim Sha Tsui,area,2383
629.0,Po Lin Monastery,Religious,2018
180.0,Disney's Hollywood Hotel,Hotel,1835
96.0,Causeway Bay,area,1687
540.0,Mong Kok,area,1649
307.0,Hong Kong Observation Wheel,Entertainment,1521
46.0,Bakehouse (Wan Chai),Dining,1328
815.0,Tai Po,area,1327
803.0,Tai Mo Shan,Outdoor,1233
584.0,Ngong Ping Village,Cultural,1188
37.0,Avenue Of Stars,Cityscape,1179
874.0,The Peninsula,Hotel,1157
579.0,Ngong Ping,area,1114
295.0,Hong Kong Cultural Centre,Cultural,1076
696.0,Sha Tin Che Kung Temple,Religious,965
364.0,K11 MUSEA,Shopping,924
733.0,Sky 100,Cityscape,909
1003.0,World of Frozen,Entertainment,885
506.0,Man Mo Temple,Religious,839
913.0,Tsing Ma Bridge,Cityscape,810
324.0,Hong Kong-Zhuhai-Macao Bridge,Cityscape,773
804.0,Tai O,area,672
995.0,Wong Tai Sin Temple,Religious,666
921.0,Tsz Shan Monastery,Religious,663
885.0,Tian Tan Buddha,Religious,645
304.0,Hong Kong Museum of Art,Cultural,625
494.0,Madame Tussauds,Cultural,596
310.0,Hong Kong Park,Cityscape,585
293.0,Hong Kong Convention and Exhibition Centre,Cityscape,582
150.0,Clock Tower,Cultural,565
404.0,Kowloon,area,517
386.0,Kennedy Town,area,515
964.0,Wan Chai,area,510
413.0,Kowloon Tin Hau Temple,Religious,502
872.0,The Peak Tower,Cityscape,476
834.0,Temple Street Night Market,Shopping,468
301.0,Hong Kong Island,Natural,418
228.0,Frozen Ever After,Entertainment,404
312.0,Hong Kong Science Museum,Cultural,371
886.0,Times Square,Shopping,345
800.0,Tai Kwun,Cultural,342
54.0,Big Grizzly Mountain Runaway Mine Cars,Entertainment,340
446.0,Lan Fong Yuen,Dining,338
567.0,Nathan Rd,Cityscape,328
663.0,Repulse Bay,Natural,324
145.0,Chungking Mansions,Cityscape,311
448.0,Lan Kwai Fong,Cultural,311
146.0,Citygate Outlets,Shopping,310
898.0,Toy Story Land,Entertainment,305
546.0,Monster Building,Cityscape,299
814.0,Tai Ping Shan,Outdoor,298
363.0,K11 ARTMALL,Shopping,294
1042.0,iSQUARE,Shopping,292
485.0,M+,Cultural,277
123.0,Cheung Hing Kee Shanghai Pan Fried Buns,Dining,274
560.0,Mystic Manor,Entertainment,270
104.0,Central Market,Shopping,268
565.0,Nan Lian Garden,Cultural,268
444.0,Lamma Island,Natural,259
721.0,Sheung Wan,area,257
833.0,Temple St,Cityscape,257
820.0,Tai Tam Reservoir,Natural,249
271.0,Harbour City,Shopping,248
119.0,Cheung Chau,Natural,243
17.0,Adventureland,Entertainment,229
588.0,North Point,area,229
323.0,Hong Kong Zoological and Botanical Gardens,Cityscape,224
675.0,SOGO,Shopping,222
179.0,Disney Explorers Lodge,Hotel,218
278.0,Hashtag B,Dining,208
1013.0,Yau Ma Tei,area,196
700.0,Sham Shui Po,area,192
436.0,Ladies' Market,Shopping,190
877.0,The Ritz-Carlton,Hotel,188
953.0,Vission Bakery,Dining,188
358.0,Jordan,area,186
433.0,LEGOLAND Discovery Centre,Entertainment,186
291.0,Hollywood Rd,Cityscape,184
503.0,Mak's Noodle,Dining,183
945.0,Victoria Park,Cityscape,180
36.0,Australia Dairy Company,Dining,179
334.0,Hung Hom Kwun Yum Temple,Religious,179
897.0,Tomorrowland,Entertainment,178
1010.0,Yat Lok Restaurant,Dining,175
3.0,1881 Heritage,Shopping,160
977.0,West Kowloon Cultural District,Cultural,160
263.0,Halfway Coffee,Dining,154
603.0,Old Hong Kong,Cityscape,154
160.0,Cupnoodles Museum,Cultural,153
784.0,Sunny Bay Station,Transit,150
916.0,Tsuen Wan,area,150
366.0,Kai Kai Dessert,Dining,145
826.0,Tai Wong Yeh Temple,Religious,145
128.0,Chi Lin Nunnery,Religious,140
189.0,Dragon's Back,Outdoor,138
925.0,Tung Chung,area,138
452.0,Lantau Peak,Outdoor,136
857.0,The Hong Kong Tourism Board Kowloon Visitor Centre,Cityscape,136
137.0,Choi Hung Estate,Cityscape,135
108.0,Central-Mid-Levels Escalators,Cityscape,134
761.0,Star Ferry Pier,Transit,133
270.0,Happy Valley Racecourse,Entertainment,126
975.0,West Kowloon,area,125
408.0,Kowloon Park,Cityscape,123
243.0,Golden Bauhinia Square,Cityscape,118
544.0,Mong Kok Station,Transit,117
316.0,Hong Kong Stadium,Sport,116
356.0,Jenny Bakery,Dining,114
768.0,Stone Slab Street,Cityscape,114
914.0,Tsing Yi,Natural,112
434.0,LOUIS VUITTON,Shopping,111
912.0,Tsim Sha Tsui Station,Transit,111
929.0,Tung Chung Station,Transit,109
635.0,Prince Edward,area,104
103.0,Central Ferry Pier,Transit,103
344.0,ICHIRAN,Dining,101
646.0,Queen's Road,Cityscape,101
