video_date,poi_cate,journey_n,stop_n,avg_stop_sentiment
2016-02-28,Entertainment,1,1,0.9598719477653503
2016-02-28,Natural,2,2,0.9059084206819534
2016-02-28,Religious,1,1,0.9205385446548462
2016-02-28,area,1,1,0.897092878818512
2019-09-25,Cityscape,1,1,0.9010170102119446
2019-09-25,Entertainment,1,1,0.9412645399570465
2019-10-11,Entertainment,1,1,0.9582765102386475
2020-01-11,Transit,1,1,0.06085970997810364
2020-05-04,Cityscape,1,2,0.634063646197319
2020-05-22,Natural,1,1,0.9229393601417542
2020-05-27,Hotel,1,1,0.6018480062484741
2020-06-05,Cityscape,1,1,0.9536846280097961
2020-06-05,Outdoor,1,3,0.794969896475474
2020-08-14,Cityscape,1,1,0.838832437992096
2020-08-14,Entertainment,1,1,0.9615330100059509
2021-01-24,Transit,1,1,0.05885057523846626
2021-04-16,Entertainment,1,1,0.9643622040748596
2021-05-03,Dining,1,1,0.7888133823871613
2021-05-26,Cityscape,1,1,0.815265953540802
2021-05-26,Shopping,1,1,0.9591919183731079
2021-08-09,Cityscape,1,1,0.9578969478607178
2021-08-09,Transit,1,1,0.5839655995368958
2021-08-17,Entertainment,1,1,0.9175731976826985
2021-09-26,Shopping,1,1,0.911026656627655
2021-10-16,Cityscape,1,1,0.889679491519928
2021-11-28,Natural,1,1,0.9440873861312866
2021-12-15,Outdoor,1,1,0.8460379838943481
2022-01-25,Cityscape,1,1,0.9211966395378113
2022-01-25,Outdoor,2,3,0.797418475151062
2022-01-25,area,1,1,0.645893394947052
2022-02-20,Cityscape,1,3,0.9342457254727682
2022-02-20,Cultural,1,1,0.9534489512443542
2022-02-20,area,1,1,0.8190696239471436
2022-03-25,Cityscape,1,1,0.8731443881988525
2022-03-25,Dining,1,1,0.9536241292953491
2022-03-25,Entertainment,1,1,0.945825845003128
2022-03-25,Natural,1,1,0.7946192622184753
2022-04-01,area,1,2,0.54328653216362
2022-04-07,Natural,1,1,0.8935832579930624
2022-06-01,Cityscape,1,1,0.7840301394462585
2022-06-15,Cityscape,1,1,0.2416478842496872
2022-06-15,Entertainment,1,1,0.9703637361526489
2022-06-15,Shopping,1,1,0.41578763723373413
2022-06-15,area,1,1,0.5827319622039795
2022-06-22,Cityscape,1,3,0.8283145825068156
2022-06-22,Natural,1,1,0.8848437964916229
2022-06-22,Religious,1,1,0.922289252281189
2022-06-22,Shopping,2,2,0.47544384468346834
2022-06-22,Transit,1,2,0.7853498756885529
2022-06-22,area,1,2,0.8863952904939651
2022-07-08,area,1,1,0.835559219121933
2022-07-09,Natural,1,1,0.9424581527709961
2022-07-10,Transit,1,1,0.49331989139318466
2022-07-11,Cityscape,1,1,0.4036131054162979
2022-07-11,Entertainment,1,1,0.7709338963031769
2022-07-11,area,1,1,0.7814728617668152
2022-07-22,Cultural,1,1,0.9663475751876831
2022-07-22,Natural,1,3,0.7433226268428067
2022-07-22,Outdoor,1,1,0.9319084882736206
2022-07-22,Religious,1,2,0.8270241618156433
2022-07-23,Dining,1,1,0.8859198689460754
2022-07-28,Shopping,1,1,0.32329532504081726
2022-08-06,Entertainment,1,1,0.9377347793844011
2022-08-17,Cultural,1,1,0.8422892689704895
2022-08-18,Cityscape,1,1,0.8049793839454651
2022-08-18,Transit,1,1,0.05044209957122803
2022-08-18,area,1,1,0.19304023124277592
2022-08-28,area,1,1,0.8336505889892578
2022-09-04,Cultural,1,1,0.9697846174240112
2022-09-04,Entertainment,1,7,0.9053832122257778
2022-09-18,area,1,2,0.8030843138694763
2022-09-19,Entertainment,1,1,0.893589973449707
2022-09-23,Hotel,1,1,0.04052504152059555
2022-10-13,Transit,1,1,0.39587515592575073
2022-10-16,Entertainment,1,1,0.8704781867563725
2022-10-16,Transit,1,1,0.09351488202810287
2022-11-02,Shopping,1,1,0.5461433591055018
2022-11-09,Cityscape,1,2,0.9234091341495514
2022-11-09,Natural,1,2,0.7803842052817345
2022-11-09,Religious,1,2,0.9316567033529282
2022-11-09,area,1,2,0.9217947572469711
2022-11-15,Cityscape,1,1,0.7150566577911377
2022-11-15,Shopping,1,1,0.7478065490722656
2022-11-22,Cityscape,1,1,0.8860666155815125
2022-11-22,Cultural,1,2,0.7535403072834015
2022-11-23,Transit,1,1,0.23868635296821594
2022-11-28,Cityscape,1,1,0.8593064546585083
2022-11-29,Cityscape,1,2,0.8584454357624054
2022-11-29,Natural,1,1,0.8933310508728027
2022-12-01,Shopping,1,1,0.9579617977142334
2022-12-04,Cityscape,1,1,0.20503030717372894
2022-12-04,Transit,1,1,0.4357408285140991
2022-12-09,Cityscape,1,1,0.5804373994469643
2022-12-13,Cityscape,1,6,0.8737159487273959
2022-12-13,Cultural,1,6,0.6715212613344193
2022-12-13,Hotel,1,1,0.9153211712837219
2022-12-13,Shopping,1,1,0.9412710070610046
2022-12-13,area,1,1,0.7635437250137329
2022-12-14,Cityscape,1,1,0.47508224844932556
2022-12-14,Dining,1,1,0.9400759339332581
2022-12-14,Entertainment,1,1,0.9130374640226364
2022-12-14,Natural,1,1,0.8844298124313354
2022-12-14,area,1,1,0.799068033695221
2022-12-21,Cityscape,1,1,0.29189643263816833
2022-12-26,Entertainment,1,1,0.9275886416435242
2022-12-30,Entertainment,1,4,0.5534493364393711
2022-12-30,Transit,1,5,0.3077805632352829
2023-01-04,Shopping,1,1,0.9467708766460419
2023-01-07,Shopping,1,1,0.7762835621833801
2023-01-13,Cityscape,1,1,0.9731951951980591
2023-01-13,Dining,2,2,0.4534257063642144
2023-01-13,Entertainment,1,1,0.9144293069839478
2023-01-13,area,1,1,0.7320435643196106
