video_date,poi_a_id,poi_a_name,poi_a_cate,poi_b_id,poi_b_name,poi_b_cate,cooccur_n,avg_journey_sentiment
2016-02-28,451,Lantau Island,Natural,815,Tai Po,area,1,0.9048746029535929
2016-02-28,451,Lantau Island,Natural,885,Tian Tan Buddha,Religious,1,0.9048746029535929
2016-02-28,815,Tai Po,area,885,Tian Tan Buddha,Religious,1,0.9048746029535929
2019-09-25,296,Hong Kong Disneyland,Entertainment,946,Victoria Peak,Cityscape,1,0.9211407750844955
2020-05-04,324,Hong Kong-Zhuhai-Macao Bridge,Cityscape,913,Tsing Ma Bridge,Cityscape,1,0.634063646197319
2020-06-05,452,Lantau Peak,Outdoor,465,Lion Rock,Outdoor,1,0.8346485793590546
2020-06-05,452,Lantau Peak,Outdoor,946,Victoria Peak,Cityscape,1,0.8346485793590546
2020-06-05,465,Lion Rock,Outdoor,946,Victoria Peak,Cityscape,1,0.8346485793590546
2020-08-14,296,Hong Kong Disneyland,Entertainment,946,Victoria Peak,Cityscape,1,0.9001827239990234
2021-05-26,3,1881 Heritage,Shopping,944,Victoria Harbour,Cityscape,1,0.887228935956955
2022-01-25,803,Tai Mo Shan,Outdoor,815,Tai Po,area,1,0.7835064977407455
2022-01-25,803,Tai Mo Shan,Outdoor,946,Victoria Peak,Cityscape,1,0.7835064977407455
2022-01-25,815,Tai Po,area,946,Victoria Peak,Cityscape,1,0.7835064977407455
2022-02-20,37,Avenue Of Stars,Cityscape,96,Causeway Bay,area,1,0.9150511503219605
2022-02-20,37,Avenue Of Stars,Cityscape,408,Kowloon Park,Cityscape,1,0.9150511503219605
2022-02-20,37,Avenue Of Stars,Cityscape,584,Ngong Ping Village,Cultural,1,0.9150511503219605
2022-02-20,37,Avenue Of Stars,Cityscape,944,Victoria Harbour,Cityscape,1,0.9150511503219605
2022-02-20,96,Causeway Bay,area,408,Kowloon Park,Cityscape,1,0.9150511503219605
2022-02-20,96,Causeway Bay,area,584,Ngong Ping Village,Cultural,1,0.9150511503219605
2022-02-20,96,Causeway Bay,area,944,Victoria Harbour,Cityscape,1,0.9150511503219605
2022-02-20,408,Kowloon Park,Cityscape,584,Ngong Ping Village,Cultural,1,0.9150511503219605
2022-02-20,408,Kowloon Park,Cityscape,944,Victoria Harbour,Cityscape,1,0.9150511503219605
2022-02-20,584,Ngong Ping Village,Cultural,944,Victoria Harbour,Cityscape,1,0.9150511503219605
2022-03-25,296,Hong Kong Disneyland,Entertainment,361,Jumbo kingdom,Dining,1,0.8918034061789513
2022-03-25,296,Hong Kong Disneyland,Entertainment,663,Repulse Bay,Natural,1,0.8918034061789513
2022-03-25,296,Hong Kong Disneyland,Entertainment,733,Sky 100,Cityscape,1,0.8918034061789513
2022-03-25,361,Jumbo kingdom,Dining,663,Repulse Bay,Natural,1,0.8918034061789513
2022-03-25,361,Jumbo kingdom,Dining,733,Sky 100,Cityscape,1,0.8918034061789513
2022-03-25,663,Repulse Bay,Natural,733,Sky 100,Cityscape,1,0.8918034061789513
2022-04-01,101,Central,area,700,Sham Shui Po,area,1,0.54328653216362
2022-06-15,291,Hollywood Rd,Cityscape,307,Hong Kong Observation Wheel,Entertainment,1,0.5526328049600124
2022-06-15,291,Hollywood Rd,Cityscape,886,Times Square,Shopping,1,0.5526328049600124
2022-06-15,291,Hollywood Rd,Cityscape,964,Wan Chai,area,1,0.5526328049600124
2022-06-15,307,Hong Kong Observation Wheel,Entertainment,886,Times Square,Shopping,1,0.5526328049600124
2022-06-15,307,Hong Kong Observation Wheel,Entertainment,964,Wan Chai,area,1,0.5526328049600124
2022-06-15,886,Times Square,Shopping,964,Wan Chai,area,1,0.5526328049600124
2022-06-22,451,Lantau Island,Natural,544,Mong Kok Station,Transit,1,0.8563337445259094
2022-06-22,451,Lantau Island,Natural,629,Po Lin Monastery,Religious,1,0.8563337445259094
2022-06-22,451,Lantau Island,Natural,815,Tai Po,area,1,0.8563337445259094
2022-06-22,451,Lantau Island,Natural,869,The Peak Galleria,Shopping,1,0.8563337445259094
2022-06-22,451,Lantau Island,Natural,888,Tin Hau Station,Transit,1,0.8563337445259094
2022-06-22,451,Lantau Island,Natural,944,Victoria Harbour,Cityscape,1,0.8563337445259094
2022-06-22,451,Lantau Island,Natural,946,Victoria Peak,Cityscape,1,0.8563337445259094
2022-06-22,544,Mong Kok Station,Transit,629,Po Lin Monastery,Religious,1,0.8563337445259094
2022-06-22,544,Mong Kok Station,Transit,815,Tai Po,area,1,0.8563337445259094
2022-06-22,544,Mong Kok Station,Transit,869,The Peak Galleria,Shopping,1,0.8563337445259094
2022-06-22,544,Mong Kok Station,Transit,888,Tin Hau Station,Transit,1,0.8563337445259094
2022-06-22,544,Mong Kok Station,Transit,944,Victoria Harbour,Cityscape,1,0.8563337445259094
2022-06-22,544,Mong Kok Station,Transit,946,Victoria Peak,Cityscape,1,0.8563337445259094
2022-06-22,629,Po Lin Monastery,Religious,815,Tai Po,area,1,0.8563337445259094
2022-06-22,629,Po Lin Monastery,Religious,869,The Peak Galleria,Shopping,1,0.8563337445259094
2022-06-22,629,Po Lin Monastery,Religious,888,Tin Hau Station,Transit,1,0.8563337445259094
2022-06-22,629,Po Lin Monastery,Religious,944,Victoria Harbour,Cityscape,1,0.8563337445259094
2022-06-22,629,Po Lin Monastery,Religious,946,Victoria Peak,Cityscape,1,0.8563337445259094
2022-06-22,815,Tai Po,area,869,The Peak Galleria,Shopping,1,0.8563337445259094
2022-06-22,815,Tai Po,area,888,Tin Hau Station,Transit,1,0.8563337445259094
2022-06-22,815,Tai Po,area,944,Victoria Harbour,Cityscape,1,0.8563337445259094
2022-06-22,815,Tai Po,area,946,Victoria Peak,Cityscape,1,0.8563337445259094
2022-06-22,869,The Peak Galleria,Shopping,888,Tin Hau Station,Transit,1,0.8563337445259094
2022-06-22,869,The Peak Galleria,Shopping,944,Victoria Harbour,Cityscape,1,0.8563337445259094
2022-06-22,869,The Peak Galleria,Shopping,946,Victoria Peak,Cityscape,1,0.8563337445259094
2022-06-22,888,Tin Hau Station,Transit,944,Victoria Harbour,Cityscape,1,0.8563337445259094
2022-06-22,888,Tin Hau Station,Transit,946,Victoria Peak,Cityscape,1,0.8563337445259094
2022-06-22,944,Victoria Harbour,Cityscape,946,Victoria Peak,Cityscape,1,0.8563337445259094
2022-07-11,296,Hong Kong Disneyland,Entertainment,467,Lippo Centre,Cityscape,1,0.5872735008597374
2022-07-22,451,Lantau Island,Natural,584,Ngong Ping Village,Cultural,1,0.8260388953744301
2022-07-22,451,Lantau Island,Natural,629,Po Lin Monastery,Religious,1,0.8260388953744301
2022-07-22,451,Lantau Island,Natural,803,Tai Mo Shan,Outdoor,1,0.8260388953744301
2022-07-22,451,Lantau Island,Natural,885,Tian Tan Buddha,Religious,1,0.8260388953744301
2022-07-22,584,Ngong Ping Village,Cultural,629,Po Lin Monastery,Religious,1,0.8260388953744301
2022-07-22,584,Ngong Ping Village,Cultural,803,Tai Mo Shan,Outdoor,1,0.8260388953744301
2022-07-22,584,Ngong Ping Village,Cultural,885,Tian Tan Buddha,Religious,1,0.8260388953744301
