video_date,origin_poi_cate,dest_poi_cate,flow_n
2016-02-28,Natural,area,1
2016-02-28,area,Religious,1
2019-09-25,Cityscape,Entertainment,1
2020-05-04,Cityscape,Cityscape,1
2020-06-05,Cityscape,Outdoor,1
2020-06-05,Outdoor,Cityscape,1
2020-06-05,Outdoor,Outdoor,1
2020-08-14,Entertainment,Cityscape,1
2021-05-26,Cityscape,Shopping,1
2022-01-25,Cityscape,area,1
2022-01-25,Outdoor,Cityscape,1
2022-01-25,area,Outdoor,1
2022-02-20,Cityscape,Cityscape,2
2022-02-20,Cityscape,Cultural,1
2022-02-20,Cultural,area,1
2022-03-25,Cityscape,Entertainment,1
2022-03-25,Dining,Cityscape,1
2022-03-25,Natural,Dining,1
2022-04-01,area,area,1
2022-06-15,Cityscape,area,1
2022-06-15,Entertainment,Cityscape,1
2022-06-15,area,Shopping,1
2022-06-22,Cityscape,Shopping,1
2022-06-22,Cityscape,Transit,2
2022-06-22,Natural,Cityscape,1
2022-06-22,Religious,Natural,1
2022-06-22,Shopping,Cityscape,1
2022-06-22,Transit,area,1
2022-06-22,area,Cityscape,1
2022-06-22,area,Religious,1
2022-07-11,Entertainment,Cityscape,1
2022-07-22,Cultural,Religious,1
2022-07-22,Natural,Cultural,1
2022-07-22,Natural,Outdoor,1
2022-07-22,Natural,Religious,1
2022-07-22,Religious,Natural,2
2022-08-18,Cityscape,Transit,1
2022-08-18,area,Cityscape,1
2022-09-04,Cultural,Entertainment,1
2022-09-04,Entertainment,Cultural,1
2022-09-04,Entertainment,Entertainment,5
2022-09-18,area,area,1
2022-11-09,Cityscape,Natural,1
2022-11-09,Cityscape,Religious,1
2022-11-09,Natural,Natural,1
2022-11-09,Natural,area,1
2022-11-09,Religious,Cityscape,1
2022-11-09,Religious,area,1
2022-11-09,area,Religious,1
2022-11-15,Shopping,Cityscape,1
2022-11-22,Cityscape,Cultural,1
2022-11-22,Cultural,Cultural,1
2022-11-29,Cityscape,Natural,1
2022-11-29,Natural,Cityscape,1
2022-12-04,Cityscape,Transit,1
2022-12-13,Cityscape,Cityscape,2
2022-12-13,Cityscape,Cultural,2
2022-12-13,Cityscape,Hotel,1
2022-12-13,Cityscape,area,1
2022-12-13,Cultural,Cityscape,2
2022-12-13,Cultural,Cultural,2
2022-12-13,Cultural,Shopping,1
2022-12-13,Hotel,Cultural,1
2022-12-13,Shopping,Cultural,1
2022-12-13,area,Cityscape,1
2022-12-14,Cityscape,Entertainment,1
2022-12-14,Dining,area,1
2022-12-14,Entertainment,Dining,1
2022-12-14,area,Natural,1
2022-12-30,Entertainment,Transit,3
2022-12-30,Transit,Entertainment,3
2022-12-30,Transit,Transit,2
2023-01-13,Cityscape,Dining,1
2023-01-13,Dining,Entertainment,1
2023-01-13,area,Dining,1
2023-01-14,Cityscape,Dining,1
2023-01-14,Transit,Cityscape,1
2023-01-15,Cultural,Religious,1
2023-01-15,Entertainment,Entertainment,2
2023-01-15,Religious,Cultural,1
2023-01-15,Transit,School,1
2023-01-15,area,area,1
2023-01-17,Cityscape,Shopping,1
2023-01-17,Entertainment,Transit,1
2023-01-17,Transit,Entertainment,1
2023-01-18,Cityscape,Transit,1
2023-01-18,Entertainment,Transit,1
2023-01-18,Outdoor,Outdoor,2
2023-01-18,Shopping,Entertainment,1
2023-01-18,Shopping,Shopping,1
2023-01-18,Transit,Cityscape,1
2023-01-20,Transit,Cityscape,1
2023-01-22,Dining,Religious,1
2023-01-28,Entertainment,Hotel,1
2023-01-28,Entertainment,area,1
2023-01-28,Hotel,Entertainment,1
2023-01-28,area,Entertainment,1
2023-01-31,Transit,area,1
2023-02-01,Cityscape,Cityscape,1
2023-02-06,area,Cityscape,1
2023-02-07,Entertainment,area,1
2023-02-11,Shopping,area,1
2023-02-13,Entertainment,Entertainment,12
2023-02-13,School,Transit,1
2023-02-13,Transit,area,1
2023-02-13,area,Natural,1
2023-02-14,Cityscape,Hotel,1
2023-02-14,Dining,Hotel,1
2023-02-14,Hotel,Cityscape,1
2023-02-14,Transit,Dining,1
2023-02-15,Cityscape,Cityscape,1
2023-02-15,Cultural,Cityscape,1
2023-02-16,area,Entertainment,1
2023-02-19,Cityscape,Cityscape,3
2023-02-19,Shopping,Cityscape,1
2023-02-19,Transit,Shopping,1
2023-02-21,Entertainment,Natural,1
2023-02-22,Cityscape,Cityscape,2
2023-02-23,Cultural,Religious,1
2023-02-23,Cultural,area,1
2023-02-23,Entertainment,Cultural,1
2023-02-23,Entertainment,area,1
2023-02-23,Religious,area,1
2023-02-23,area,Cultural,1
2023-02-23,area,Entertainment,2
2023-02-23,area,area,1
2023-02-24,Cityscape,Outdoor,1
2023-02-24,Cityscape,Transit,1
2023-02-24,Transit,Natural,1
2023-02-25,Cityscape,Dining,1
2023-02-25,Cityscape,area,1
2023-02-25,Dining,Shopping,1
2023-02-25,Entertainment,Transit,1
2023-02-25,Hotel,Cityscape,1
2023-02-25,Shopping,Cityscape,1
2023-02-25,Shopping,area,1
2023-02-25,Transit,Cityscape,1
2023-02-25,Transit,Transit,3
2023-02-25,Transit,area,1
2023-02-25,area,Cityscape,1
2023-02-25,area,Hotel,1
2023-02-25,area,Shopping,1
2023-02-26,Cityscape,Cityscape,4
2023-02-26,Cityscape,Cultural,1
2023-02-26,Cityscape,Hotel,1
2023-02-26,Cityscape,Shopping,3
2023-02-26,Cityscape,area,1
2023-02-26,Cultural,Cityscape,1
2023-02-26,Entertainment,Cityscape,1
2023-02-26,Entertainment,area,1
2023-02-26,Shopping,Cityscape,2
2023-02-26,Shopping,Dining,1
2023-02-26,area,Cityscape,1
2023-02-26,area,Entertainment,1
2023-02-27,Cityscape,Shopping,1
2023-02-27,Dining,Entertainment,1
2023-02-27,Dining,area,1
2023-02-27,Entertainment,Natural,1
2023-02-27,Entertainment,Transit,1
2023-02-27,Natural,Religious,1
2023-02-27,Religious,area,1
2023-02-27,Shopping,Cityscape,1
2023-02-27,Shopping,Dining,1
2023-02-27,area,Cityscape,2
2023-02-27,area,Dining,1
2023-02-27,area,Entertainment,1
2023-02-27,area,area,3
2023-02-28,Cityscape,Cityscape,1
2023-02-28,Cityscape,Transit,1
2023-02-28,Dining,Cityscape,1
2023-02-28,Entertainment,Transit,1
2023-02-28,Transit,Cityscape,1
2023-03-01,Transit,Cultural,1
2023-03-01,area,Shopping,1
2023-03-03,Cityscape,area,1
2023-03-03,Dining,area,1
2023-03-03,area,Dining,1
2023-03-03,area,area,1
2023-03-04,Cityscape,Natural,1
2023-03-04,Natural,Cityscape,1
2023-03-05,Cityscape,Cultural,1
2023-03-05,Cultural,Outdoor,1
2023-03-05,Entertainment,Entertainment,1
2023-03-05,Entertainment,Shopping,1
2023-03-05,Religious,Cityscape,1
2023-03-05,Religious,Religious,1
2023-03-05,Shopping,Transit,1
2023-03-07,Cityscape,Shopping,1
2023-03-07,Cultural,area,1
2023-03-07,Dining,Dining,1
2023-03-07,Entertainment,Natural,1
2023-03-07,Natural,Cityscape,1
2023-03-07,Natural,Entertainment,1
2023-03-07,Natural,Religious,1
2023-03-07,Natural,Transit,1
2023-03-07,Religious,Cultural,1
2023-03-07,Religious,area,1
2023-03-07,Transit,Natural,1
2023-03-07,area,Cityscape,1
2023-03-07,area,Natural,2
2023-03-07,area,area,1
2023-03-09,Cityscape,Cityscape,1
2023-03-09,Cityscape,Entertainment,1
2023-03-09,Cityscape,area,1
2023-03-09,Entertainment,Transit,2
2023-03-09,Hotel,Transit,1
2023-03-09,Natural,Cityscape,1
2023-03-09,Shopping,Natural,1
2023-03-09,Transit,Cityscape,1
2023-03-09,Transit,Entertainment,2
2023-03-09,Transit,Hotel,1
2023-03-09,area,Transit,1
2023-03-09,area,area,1
2023-03-10,Natural,area,1
2023-03-10,Shopping,area,1
2023-03-10,Transit,Entertainment,1
2023-03-10,area,Transit,1
2023-03-11,Cityscape,Dining,1
2023-03-11,Cityscape,Natural,2
2023-03-11,Cityscape,area,1
2023-03-11,Cultural,Hotel,1
2023-03-11,Cultural,Natural,1
2023-03-11,Dining,Cityscape,1
2023-03-11,Entertainment,Cityscape,1
2023-03-11,Entertainment,Entertainment,1
2023-03-11,Hotel,area,1
2023-03-11,Natural,Cityscape,1
2023-03-11,Natural,Cultural,1
2023-03-11,Natural,Religious,2
2023-03-11,Outdoor,Natural,1
2023-03-11,Religious,Natural,1
2023-03-11,Transit,Cityscape,1
2023-03-11,area,Cityscape,1
2023-03-11,area,Cultural,1
2023-03-12,Cityscape,Cityscape,2
2023-03-12,Natural,Religious,2
2023-03-12,Religious,Natural,1
2023-03-12,Religious,area,1
2023-03-12,area,Religious,1
2023-03-13,Cityscape,Cityscape,1
2023-03-13,Cityscape,Entertainment,4
2023-03-13,Cityscape,Transit,1
2023-03-13,Cityscape,area,1
2023-03-13,Cultural,Entertainment,1
2023-03-13,Entertainment,Cityscape,5
2023-03-13,Entertainment,Cultural,1
2023-03-13,Entertainment,Dining,1
2023-03-13,Entertainment,Entertainment,12
2023-03-13,Entertainment,Natural,1
2023-03-13,Entertainment,Transit,1
2023-03-13,Natural,Entertainment,1
2023-03-13,Transit,Cityscape,1
2023-03-13,Transit,Entertainment,1
2023-03-13,area,Entertainment,2
2023-03-13,area,area,2
2023-03-14,Cityscape,Natural,1
2023-03-14,Shopping,area,1
