video_date,origin_poi_id,origin_poi_name,origin_poi_cate,dest_poi_id,dest_poi_name,dest_poi_cate,flow_n,avg_edge_sentiment
2019-09-25,946,Victoria Peak,city,296,Hong Kong Disneyland,entertainment,1,0.8611689805984497
2020-05-04,324,Hong Kong-Zhuhai-Macao Bridge,city,913,Tsing Ma Bridge,city,1,0.5879071801900864
2020-06-05,452,Lantau Peak,outdoor,465,Lion Rock,outdoor,1,0.7310590744018555
2020-06-05,465,Lion Rock,outdoor,946,Victoria Peak,city,1,0.8997806906700134
2020-06-05,946,Victoria Peak,city,452,Lantau Peak,outdoor,1,0.7225131392478943
2020-08-14,296,Hong Kong Disneyland,entertainment,946,Victoria Peak,city,1,0.8589520752429962
2021-05-26,944,Victoria Harbour,city,3,1881 Heritage,shopping,1,0.8022487759590149
2022-01-25,803,Tai Mo Shan,outdoor,946,Victoria Peak,city,1,0.8067958950996399
2022-01-25,815,Tai Po,area,803,Tai Mo Shan,outdoor,1,0.6243569403886795
2022-01-25,946,Victoria Peak,city,815,Tai Po,area,1,0.7631927728652954
2022-02-20,37,Avenue Of Stars,city,584,Ngong Ping Village,cultural,1,0.9268034994602203
2022-02-20,408,Kowloon Park,city,944,Victoria Harbour,city,1,0.854417234659195
2022-02-20,584,Ngong Ping Village,cultural,96,Causeway Bay,area,1,0.8742834031581879
2022-02-20,944,Victoria Harbour,city,37,Avenue Of Stars,city,1,0.92058327794075
2022-03-25,361,Jumbo kingdom,dining,733,Sky 100,city,1,0.821448415517807
2022-03-25,663,Repulse Bay,natural,361,Jumbo kingdom,dining,1,0.8287160694599152
2022-03-25,733,Sky 100,city,296,Hong Kong Disneyland,entertainment,1,0.8145697861909866
2022-04-01,700,Sham Shui Po,area,101,Central,area,1,0.502498209476471
2022-06-15,291,Hollywood Rd,city,964,Wan Chai,area,1,0.3093416839838028
2022-06-15,307,Hong Kong Observation Wheel,entertainment,291,Hollywood Rd,city,1,0.5505345463752747
2022-06-15,964,Wan Chai,area,886,Times Square,shopping,1,0.3192606046795845
2022-06-22,451,Lantau Island,natural,946,Victoria Peak,city,1,0.840448409318924
2022-06-22,629,Po Lin Monastery,religion,451,Lantau Island,natural,1,0.8563157171010971
2022-06-22,815,Tai Po,area,629,Po Lin Monastery,religion,1,0.8659123331308365
2022-06-22,815,Tai Po,area,944,Victoria Harbour,city,1,0.6898802220821381
2022-06-22,869,The Peak Galleria,shopping,944,Victoria Harbour,city,1,0.8969796895980835
2022-06-22,888,Tin Hau Station,transit,815,Tai Po,area,1,0.9003710597753525
2022-06-22,944,Victoria Harbour,city,544,Mong Kok Station,transit,1,0.7564634382724762
2022-06-22,944,Victoria Harbour,city,888,Tin Hau Station,transit,1,0.7455829977989197
2022-06-22,946,Victoria Peak,city,869,The Peak Galleria,shopping,1,0.875540092587471
2022-07-11,296,Hong Kong Disneyland,entertainment,467,Lippo Centre,city,1,0.4804091863334179
2022-07-22,451,Lantau Island,natural,584,Ngong Ping Village,cultural,1,0.9202814698219299
2022-07-22,451,Lantau Island,natural,803,Tai Mo Shan,outdoor,1,0.6549785376992077
2022-07-22,451,Lantau Island,natural,885,Tian Tan Buddha,religion,1,0.7620323002338409
2022-07-22,584,Ngong Ping Village,cultural,629,Po Lin Monastery,religion,1,0.8813295662403107
2022-07-22,629,Po Lin Monastery,religion,451,Lantau Island,natural,1,0.8131779432296753
2022-07-22,885,Tian Tan Buddha,religion,451,Lantau Island,natural,1,0.560928309103474
2022-08-18,101,Central,area,944,Victoria Harbour,city,1,0.3871109001338482
2022-08-18,944,Victoria Harbour,city,300,Hong Kong International Airport,transit,1,0.347196489572525
2022-09-04,239,Giant Panda Adventure,entertainment,598,Ocean Park,entertainment,1,0.7975455224514008
2022-09-04,296,Hong Kong Disneyland,entertainment,312,Hong Kong Science Museum,cultural,1,0.9036787748336792
2022-09-04,296,Hong Kong Disneyland,entertainment,598,Ocean Park,entertainment,1,0.8821823298931122
2022-09-04,312,Hong Kong Science Museum,cultural,598,Ocean Park,entertainment,1,0.8797852098941803
2022-09-04,598,Ocean Park,entertainment,239,Giant Panda Adventure,entertainment,1,0.8782217502593994
2022-09-04,598,Ocean Park,entertainment,296,Hong Kong Disneyland,entertainment,2,0.8158756121993065
2022-09-18,804,Tai O,area,1013,Yau Ma Tei,area,1,0.7052934169769287
2022-11-09,56,Big Wave Bay Beach,natural,404,Kowloon,area,1,0.8452337384223938
2022-11-09,444,Lamma Island,natural,56,Big Wave Bay Beach,natural,1,0.6730137839913368
2022-11-09,815,Tai Po,area,921,Tsz Shan Monastery,religion,1,0.8948599398136139
2022-11-09,885,Tian Tan Buddha,religion,815,Tai Po,area,1,0.9008573740720749
2022-11-09,921,Tsz Shan Monastery,religion,946,Victoria Peak,city,1,0.8896841108798981
2022-11-09,946,Victoria Peak,city,444,Lamma Island,natural,1,0.7027843371033669
